linha_csv;id;n2_centro_custo;n3_centro_custo;n4_centro_custo;tipo_sugerido;confianca;motivo;observacao_resumo
738;000991;DOURADOS;ADMINISTRATIVO;ADMINISTRATIVO;CAMINHOES;baixa;sem indício forte (fallback); REF. LIMPEZA  DA FOSSA  DA UNIDADE DE DOURADOS PGT FLASH CARTAO FINAL 3105.
739;002872;DOURADOS;ADMINISTRATIVO;ADMINISTRATIVO;CAMINHOES;baixa;sem indício forte (fallback); NFS 1005309 PGTO BOL. VENCI 05.02 REF. SERVIÇO DE SUBSTITUIÇÃO DE COMPRESSOR E CARGA DE GAS EM  BEBEDOURO DA UNIDADE DE DOURADOS
749;002606;DOURADOS;ADMINISTRATIVO;ADMINISTRATIVO;CAÇAMBAS;alta;caixas/caçamba no centro de custo ou observação; NFS 1033211 PGTO TRANSFERENCIA VENCI 26.01 REF. SERVIÇO DE LIMPEZA DE CAIXA (COLETA DE RESIDUOS)
752;000321;MARINGA DISTRITO;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; - CRISTINA - NFS. 10.710 VENC. 26/01/26 VIA BOL. - REF. A CONCRETAGEM EM TRECHO PRÓXIMO A BALANÇA P/ MELHOR ESCOAMENTO  DE ÁGUA E PRÓXIMO A INSTALAÇÕES ELÉTRICAS, MAIS CONCRETAGEM
753;002791;MARINGA DISTRITO;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFS. 10.720 VENC. 30/01/26 VIA BOL. - REF. A CONCRETAGEM NO TRECHO PRÓXIMO A BALANÇA P/ MELHORAR ESCOAMENTO DE ÁGUA E PROXIMO AS INSTALAÇÕES ELÉTRICAS, TAMBEM NO TRECHO
754;002803;MARINGA DISTRITO;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFS. 10.722 VENC. 02/02/26 VIA BOL. - REF. A CONCRETAGEM NO TRECHO PRÓXIMO A BALANÇA P/ MELHORAR ESCOAMENTO DE ÁGUA E PROXIMO AS INSTALAÇÕES ELÉTRICAS, TAMBEM NO TRECHO
764;000271;PRESIDENTE PRUDENTE;ADMINISTRATIVO;ADMINISTRATIVO;CAMINHOES;baixa;sem indício forte (fallback); CRISTINA -  REF. A INSTALAÇÃO DE AR CONDICIONADO 18.000BTUS NO ESCRITORIO DISTRITO PRUDENTE / PERTO MESAS  TRANSMOVE.  NFS. 12 - VENC. 15/01/2026 - PAGAMENTO VIA PIX
768;002896;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFE. 1.292 VENC. 05/02/26 VIA PIX - REF. A REVISÃO DE 3 COMPRESSORES, TROCA DE OLEO, LIMPEZA DO CARTE E TROCA DE FILTRO DE AR
782;001886;DOURADOS;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; NFS 144 VENCI 10.02 PGTO FLASH FINAL 8609, REF. COPIA DE 3 CHAVES DO PORTAO DE SAIDA DA UNIDADE DE DOURADOS , UMA COPIA PARA CADA MOTORISTA.
792;003314;PRESIDENTE PRUDENTE;ADMINISTRATIVO;ADMINISTRATIVO;CAMINHOES;baixa;sem indício forte (fallback); CRISTINA - REF. A TROCA DO COMPRESSOR AR CONDICIONADO DA SALA DA CONSULTI r$1.800,00 AUTORIZADO PELO MARCONDES E CONSERTO AR CONDICIONADO DO ESCRITORIO (MESA 1 FILA)   NFS. 17 - V
866;001416;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;alta;código de máquina na observação; - CRISTINA - NFS. 24 VENC. 25/02/26 VIA PIX - REF. AOS SERVIÇOS:  EHH0019 - RETIRAR TAMPÃO P/ SOLDAR, COLOCAR TAMPÃO E COMPLETAR OLEO HIDRAULICO R$ 380,00  DESMONTAR PENEIRA RESER
893;001060;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - NFS. 31.759 VENC. 15/02/26 VIA BOL. - REF. AO CONSERTO E REVISÃO DE 1 ESMERILHADEIRA BOSCH GWS 2200-180, PRUDENTE
898;002397;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; - CRISTINA - NFS. 36 VENC. 15/01/26 VIA PIX - REF. A EXECUÇÃO DE SERVIÇO DE NOVOS DUTOS DE ÁGUA PLUVIAL E DE NATA DE  CIMENTO P/ MANUTENÇÃO DO PATIO
937;003866;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; - CRISTINA - NFS. 44 VENC. 05/03/26 VIA PIX - REF. AO REPARO EM HIDRAULICA LAVADOR, ATERRO E CONCRETAGEM NO CANIL,  ARRUMAR PILAR DO MURO, ATERRO E CONCRETAGEM DE EROSÃO AO LADO D
955;003294;DOURADOS;OPERACIONAL;OPERACIONAL;MAQUINAS;alta;código de máquina na observação; CRISTINA - NFS. 4.911 VENC. 13/02/26 VIA BOL. - REF. A RECARGA DE 02 PQS 12KG ABC R$240,00 PQS 12KG R$70,00 03 PQS 06KG R$45,00 PQS 6KG ABC R$80,00 P/ USO NO PATIO DE DOURADOS, 03
962;003315;PRESIDENTE PRUDENTE;ADMINISTRATIVO;ADMINISTRATIVO;CAMINHOES;baixa;sem indício forte (fallback); CRISTINA - REF. A REFORMA DE 7 CADEIRAS DE MADEIRA NO VALOR DE R$200,00 CADA E REFORMA DE 8 CADEIRAS NO VALOR DE  R$70,00 CADA, AUTORIZADA POR DONA GIULIANA   PAGAMENTO VIA PIX - 
973;001374;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; - CRISTINA - NFS. 76 VENC. 25/02/26 VIA PIX - REF. A MONTAGEM DE UM PAINEL P/ O COMPRESSOR DA OFICINA E TROCA DA FIAÇÃO
978;001375;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; - CRISTINA - NFS. 77 VENC. 25/02/26 VIA PIX - REF. AO CONSERTO DA BOTEIRA DA CENTRAL FECHO MAGNÉTICO NO ESCRITORIO E  TROCA DE CABO FECHO MAGNÉTICO NO REFEITÓRIO
979;001376;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; - CRISTINA - NFS. 78 VENC. 25/02/26 VIA PIX - REF. A REINSTALAÇÃO DO MOTOR, TROCA DA BASE DO MOTOR E TROCA DAS  CREMALHEIRAS NO PORTA CA CHÁCARA DO SR. RENATO
980;001365;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; - CRISTINA - NFS. 79 VENC. 25/02/26 VIA PIX - REF. A INSTALAÇÃO DE 12 PONTOS P/ CÂMERA, PASSAGEM DO CABEAMENTO,  INSTALAÇÃO DO RACK E CONFIGURÇÃO DAS CÂMERAS NA CASA DA MÃE DO SR.
981;000093;MARINGA DISTRITO;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; - CRISTINA - NFS. 8 VENC. 15/01/26 VIA PIX - REF. AO SERVIÇO DE MANTA P/ VEDAÇÃO TOTAL DA PARTE INFERIOR DO CONTAINER,  MARINGA
998;002893;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; - CRISTINA - NFS. 878 VENC. 05/02/26 VIA PIX - REF. AO ALUGUEL DA MAQUINA MIC/MAG SB400 BUSSOLA COM CABEÇOTE EXTERNO,  UTILIZADA NO PERIODO DE 30/12/25 A 14/01/26, COM USO NA OFIC
999;000611;DOURADOS;ADMINISTRATIVO;ADMINISTRATIVO;CAMINHOES;baixa;sem indício forte (fallback); NFS 88 PGTO BOL. VENCI 05.02 REF. SERVIÇO DE LIMPEZA DE DOIS AR CONDICIONADO PISO SUPERIOR E UM  AR NO TERREO UNIDADE DE DOURADOS.
1002;000643;MARINGA DISTRITO;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; - CRISTINA - NFS. 9 VENC. 05/02/26 VIA PIX - REF. A LIMPEZA E HIGIENIZAÇÃO DOS AR CONDICIONADOS, 2 NO ESCRITÓRIO, 1 NA  COZINHA E 2 NO DORMITÓRIO EM MARINGA
1011;000927;PRESIDENTE PRUDENTE;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - S/N VENC. 22/01/26 VIA CARTÃO ALELO 7016 DILSINHO - REF. A COPIA DA CHAVE DA PORTA DE VIDRO DO CONTEINER SUPRIMENTOS P/ USODO COLABORADOR EDMILSON
